Tick,S0,S1,S2,S3,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
3047,253,324,121,325,-0.453125,1.710938,0.054688,87.402351,-140.136734,-249.511734,0.367188,-0.101563,-0.1875
3048,231,313,122,318,0.101563,1.996094,0.054688,-71.28907,52.246098,-32.714848,0.328125,-0.109375,-0.179688
3049,213,304,122,308,-0.46875,1.996094,-0.636719,-244.14064,170.410172,55.664066,0.320313,-0.125,-0.21875
3050,215,306,122,308,0.09375,1.996094,-0.566406,-226.562515,88.378914,-112.792976,0.296875,-0.148438,-0.234375
3051,228,318,121,320,1.988281,1.996094,-0.476563,10.253907,-105.957039,-250.000015,0.257813,-0.171875,-0.25
3052,203,300,121,302,1.996094,1.996094,-0.691406,-86.91407,-46.386723,-250.000015,0.210938,-0.210938,-0.25
3053,194,293,123,293,1.996094,1.285156,-0.882813,-125.97657,61.03516,-216.79689,0.179688,-0.257813,-0.257813
3054,193,293,122,290,1.996094,0.355469,-0.988281,-66.406258,38.085941,-139.648453,0.171875,-0.28125,-0.257813
3055,192,292,120,288,1.996094,-0.136719,-0.984375,-12.207032,-12.207032,-50.781254,0.171875,-0.28125,-0.257813
3056,191,291,122,287,1.941406,-1.183594,-0.761719,17.578127,-49.804691,55.175785,0.164063,-0.28125,-0.265625
3057,190,292,120,286,1.898438,-1.433594,-0.757813,60.546879,-78.125008,171.386734,0.171875,-0.265625,-0.265625
3058,191,292,121,287,1.953125,-0.898438,-0.683594,83.00782,-74.218758,249.511734,0.210938,-0.234375,-0.265625
3059,190,292,121,286,1.988281,0.441406,-0.59375,107.910164,-40.039066,249.511734,0.265625,-0.1875,-0.257813
3060,190,291,121,286,1.746094,1.371094,-0.621094,115.722664,-3.417969,249.511734,0.265625,-0.1875,-0.257813
3061,189,292,120,285,1.53125,1.777344,-0.675781,154.29689,-8.300782,249.511734,0.335938,-0.148438,-0.242188
3062,189,291,121,287,1.769531,1.996094,-0.769531,217.773453,-38.085941,249.511734,0.421875,-0.117188,-0.234375
3063,190,293,120,287,1.996094,1.996094,-0.699219,198.730484,36.621098,249.511734,0.507813,-0.125,-0.1875
3064,190,293,121,286,1.648438,1.996094,-0.835938,197.26564,77.636726,249.511734,0.601563,-0.148438,-0.171875
3065,189,294,120,286,1.449219,1.996094,-0.828125,216.79689,109.375008,249.511734,0.601563,-0.148438,-0.171875
3066,189,294,121,285,-0.386719,1.996094,-0.988281,195.800797,152.832047,249.511734,0.671875,-0.203125,-0.164063
3067,188,295,121,286,-2,1.996094,-0.882813,231.933609,81.542976,249.511734,0.71875,-0.265625,-0.15625
3068,190,297,121,288,-2,1.996094,0.171875,174.316422,-41.992191,242.675797,0.757813,-0.304688,-0.140625
